concept	sub_concept	dim_id	dim_title	jid	reference	analysis_short
provider-developer	provider	term-0-0		co		Developer
provider-developer	provider	term-0-0		tx		Developer
provider-developer	provider	scope-1-0		co	Colorado SB24-205, 6-1-1701	A person that develops an AI system or substantially modifies an AI system (§6-1-1701)
provider-developer	provider	scope-1-0		tx	Texas HB149, 552.001. (2)	A person who develops an AI system that is offered, sold, leased, given, or otherwise provided in the state (552.001.)
provider-developer	provider	regulatory-trigger-2-0		co		Upon making the AI system available
provider-developer	provider	regulatory-trigger-2-0		tx	Texas HB149, 552.103. (a)	Upon request by attorney general, following investigative demand (552.103.)
provider-developer	provider	provider-developer-information-3-0		co		-
provider-developer	provider	provider-developer-information-3-0		tx		Make publicly available statement summarising types of high-risk AI systems provided by developer (§6-1-1702.)
provider-developer	provider	transparency-4-0		co	Colorado SB24-205, 6-1-1704	Must disclose to consumers interaction with AI system (§6-1-1704)
provider-developer	provider	transparency-4-0		tx		-
provider-developer	provider	general-information-disclosure-5-0		co		-
provider-developer	provider	general-information-disclosure-5-0		tx	Texas HB149, 552.103. (b)	High-level description of the system, training data, outputs and metrics for system evaluation (552.103.)
provider-developer	provider	risk-management-6-0		co		-
provider-developer	provider	risk-management-6-0		tx	Texas HB149, 552.103. (b)	High-level description of the post-deployment monitoring and user safeguards (552.103.)
provider-developer	provider	incident-risk-reporting-7-0		co		-
provider-developer	provider	incident-risk-reporting-7-0		tx		-
provider-developer	provider	ai-literacy-8-0		co		-
provider-developer	provider	ai-literacy-8-0		tx		-
provider-developer	provider	rebuttal-9-0		co	Colorado SB24-205, 6-1-1706	60-day opportunity to cure violation and compliance with latest NIST AI Risk Management Framework and ISO/IEC 42001 standards rebuts violation  (§6-1-1706)
provider-developer	provider	rebuttal-9-0		tx	TX HB 149 §552.104; TX HB 149 §552.105	Opportunity to cure violation within 60-days (552.104.) Liability exemption in case of 'substantial compliance' with NIST risk management framework (552.105.)
provider-developer	provider	penalties-10-0		co	Colorado Consumer Protection Act	Up to $20K per violation (Colorado Consumer Protection Act)
