source_tracker,title,funder,category,amount_min,amount_max,amount_raw,currency,deadline,rolling,status,url,description,thematic_fit,broken_url,date_added,last_seen
ai-agents,J-PAL Project AI Evidence RFP,Abdul Latif Jameel Poverty Action Lab (J-PAL),Research Institution,,,Pilot studies and full projects; amounts vary,USD,,1,new,https://www.povertyactionlab.org/initiative/project-ai-evidence-rfp,Funds rigorous research on how AI (including agentic systems) helps or harms wellbeing of people experiencing poverty. Supports full research projects and pilot studies. Open to research organizations including think tanks.,3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,Cooperative AI Foundation Research Grants,Cooperative AI Foundation (CAIF),Foundation,10000.0,10000.0,"Min GBP 10,000; varies",USD,,1,new,https://www.cooperativeai.com/grants/2025,"Funds research on multi-agent/cooperation problems involving AI agents (multiple artificial agents, or human-AI mixed agents). Minimum GBP 10,000, up to two-year projects. Includes infrastructure, benchmarks, and metrics of cooperative success.",5,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,Research into Agentic AI Systems,OpenAI,Corporate,10000.0,100000.0,"$10,000 - $100,000",USD,,1,new,https://openai.smapply.org/prog/agentic-ai-research-grants/,"Grants of $10,000 - $100,000 to fund research into the impacts of agentic AI systems and practices for making them safe. 3-8 month projects. Open to academic, non-profit, and independent researchers (including think tanks).",5,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,AI Safety Fund — AI Agent Evaluation & Synthetic Content RFPs,Frontier Model Forum (AI Safety Fund),Corporate,11.0,5000000.0,"December 2025 cohort: 11 grantees, >$5M total disbursed; per-grant size not published on landing page.",USD,,1,active,https://www.frontiermodelforum.org/ai-safety-fund/,"AI Safety Fund (backed by Anthropic, Google, Microsoft, OpenAI and philanthropic partners) issues RFPs including AI Agent Evaluation. Directly funds development of new benchmarks, evaluation methodologies and measurement work on frontier models — closely aligned with measurement-gap and saturation analysis.",5,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,Request for Proposals: AI Governance,Coefficient Giving (formerly Open Philanthropy),Foundation,,,Grants vary; portion of broader AI governance/policy spend.,USD,,1,active,https://www.openphilanthropy.org/request-for-proposals-ai-governance/,"Funds AI governance research and policy work. Includes evaluation-related governance topics: third-party model access, audits, and capability evaluation frameworks supporting governance decisions.",3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,Request for Proposals: Technical AI Safety Research,Coefficient Giving (formerly Open Philanthropy),Foundation,40000000.0,40000000.0,"Up to $40,000,000",USD,,1,active,https://www.openphilanthropy.org/request-for-proposals-technical-ai-safety-research/,"Open RFP funding technical AI safety research. Explicitly funds work on model evaluations, capability evaluations, and dangerous-capability benchmarks for frontier models — directly relevant to measurement gaps and benchmark saturation analysis.",4,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,AI Risk Mitigation Fund (ARM Fund),Effective Ventures Foundation USA / ARM Fund,Foundation,,,Individual grant sizes not published on landing page; fiscally sponsored,USD,,1,open,https://www.airiskfund.com/,"Grants in technical research, policy and talent programmes to reduce catastrophic risks from advanced AI. Technical alignment and evaluation research explicitly in scope.",3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,Long-Term Future Fund - Speculation Grants & Main Round,EA Funds (Long-Term Future Fund),Foundation,5.0,20000000.0,Historically >$20M distributed to AI risk over 5 years; grants vary widely,USD,,1,open,https://funds.effectivealtruism.org/funds/far-future,Rolling Speculation Grants plus annual S-process round. Funds AI existential-risk reduction including technical evaluation work on frontier models and governance-relevant evaluations.,3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,Foresight Institute AI for Safety & Science Nodes (SF + Berlin),Foresight Institute,Foundation,100000.0,100000.0,"Up to $100,000",USD,,1,open,https://foresight.org/grants/grants-ai-for-science-safety/,"Monthly rolling grants to researchers using AI to advance science and safety. Focus areas include computer security, game theory, automating alignment research, forecasting - evaluation of frontier capabilities and risks in scope. Berlin node opens 1 April 2026, making EU participation straightforward.",3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,Humanity AI Pooled Fund (Rockefeller Philanthropy Advisors),"Humanity AI Coalition (MacArthur, Mellon, Ford, et al.)",Foundation,500000.0,2000000.0,Initial think-tank grants $500K - $2M,USD,,1,new,https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai,"$500M coalition fund building a people-centered future for AI. Initial think-tank grantees include AI Now Institute, Brookings, Data & Society, New America. Pooled fund grants begin 2026 via Rockefeller Philanthropy Advisors.",3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
