"status","concept_id","sub_concept_id","jid","dim_label","term_html","term_excel","html_analysis","excel_analysis","sheet","addr","linked_articles","link_statuses","link_status"
"match","deployer-supplier","deployer","co","AI literacy","Deployer","Deployer","-","-","Deployer_Supplier_Analysis","C12","","",""
"missing_in_html","deployer-supplier","deployer","co","Deployer / supplier of high-risk AI systems","","Deployer","","Colorado (SB 24-205)","Deployer_Supplier_Analysis","C21","","",""
"match","deployer-supplier","deployer","co","General information disclosure","Deployer","Deployer","-","-","Deployer_Supplier_Analysis","C10","","",""
"match","deployer-supplier","deployer","co","Penalties","Deployer","Deployer","Up to $20K per violation (Colorado Consumer Protection Act)","Up to $20K per violation (Colorado Consumer Protection Act)","Deployer_Supplier_Analysis","C15","","",""
"match","deployer-supplier","deployer","co","Rebuttal","Deployer","Deployer","60-day opportunity to cure first violation and compliance with latest NIST AI Risk Management Framework and ISO/IEC 42001 standards rebuts violation  (§6-1-1706)","60-day opportunity to cure first violation and compliance with latest NIST AI Risk Management Framework and ISO/IEC 42001 standards rebuts violation  (§6-1-1706)","Deployer_Supplier_Analysis","C13","co-sb24205:6-1-1706","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer","co","Regulatory trigger","Deployer","Deployer","No later than the time that a deployer deploys the AI system","No later than the time that a deployer deploys the AI system","Deployer_Supplier_Analysis","C5","","",""
"match","deployer-supplier","deployer","co","Risk management","Deployer","Deployer","-","-","Deployer_Supplier_Analysis","C11","","",""
"match","deployer-supplier","deployer","co","Scope","Deployer","Deployer","A person doing business that deploys an AI system (§6-1-1701)","A person doing business that deploys an AI system (§6-1-1701)","Deployer_Supplier_Analysis","C4","co-sb24205:6-1-1701","verbatim_found","verbatim_found"
"missing_in_excel","deployer-supplier","deployer","co","Term","Deployer","","Deployer","","","","co-sb24205:6-1-1701;co-sb24205:6-1-1704;co-sb24205:6-1-1706","verbatim_found;verbatim_found;verbatim_found","verbatim_found"
"match","deployer-supplier","deployer","co","Transparency","Deployer","Deployer","Must disclose interaction with AI system to consumers (§6-1-1704)","Must disclose interaction with AI system to consumers (§6-1-1704)","Deployer_Supplier_Analysis","C8","co-sb24205:6-1-1704","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer","eu","AI literacy","Deployer of limited-risk AI systems","Deployer of limited-risk AI systems","Deployers must ensure people operating / using AI systems on their behalf have a sufficient level of AI literacy (Article 4)","Deployers must ensure people operating / using AI systems on their behalf have a sufficient level of AI literacy (Article 4)","Deployer_Supplier_Analysis","B12","eu-ai-act:4","verbatim_found","verbatim_found"
"missing_in_html","deployer-supplier","deployer","eu","Deployer / supplier of high-risk AI systems","","Deployer of limited-risk AI systems","","EU (AIA)","Deployer_Supplier_Analysis","B21","","",""
"match","deployer-supplier","deployer","eu","General information disclosure","Deployer of limited-risk AI systems","Deployer of limited-risk AI systems","-","-","Deployer_Supplier_Analysis","B10","","",""
"match","deployer-supplier","deployer","eu","Penalties","Deployer of limited-risk AI systems","Deployer of limited-risk AI systems","Up to €15M or 3% of total worldwide annual turnover
Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)","Up to €15M or 3% of total worldwide annual turnover
Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)","Deployer_Supplier_Analysis","B15","eu-ai-act:99","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer","eu","Rebuttal","Deployer of limited-risk AI systems","Deployer of limited-risk AI systems","-","-","Deployer_Supplier_Analysis","B13","","",""
"match","deployer-supplier","deployer","eu","Regulatory trigger","Deployer of limited-risk AI systems","Deployer of limited-risk AI systems","Before putting into service or using a high-risk AI system","Before putting into service or using a high-risk AI system","Deployer_Supplier_Analysis","B5","","",""
"match","deployer-supplier","deployer","eu","Risk management","Deployer of limited-risk AI systems","Deployer of limited-risk AI systems","-","-","Deployer_Supplier_Analysis","B11","","",""
"match","deployer-supplier","deployer","eu","Scope","Deployer of limited-risk AI systems","Deployer of limited-risk AI systems","Natural or legal persons using AI in a professional capacity (excludes personal, non-professional use) (Article 3)","Natural or legal persons using AI in a professional capacity (excludes personal, non-professional use) (Article 3)","Deployer_Supplier_Analysis","B4","eu-ai-act:3","verbatim_found","verbatim_found"
"missing_in_excel","deployer-supplier","deployer","eu","Term","Deployer of limited-risk AI systems","","Deployer of limited-risk AI systems","","","","eu-ai-act:3;eu-ai-act:4;eu-ai-act:99","verbatim_found;verbatim_found;verbatim_found","verbatim_found"
"match","deployer-supplier","deployer","eu","Transparency","Deployer of limited-risk AI systems","Deployer of limited-risk AI systems","Disclose AI interaction;
If generating synthetic content, put in place machine-readable disclosure that content is AI-generated (Article 50)","Disclose AI interaction;
If generating synthetic content, put in place machine-readable disclosure that content is AI-generated (Article 50)","Deployer_Supplier_Analysis","B8","","",""
"match","deployer-supplier","deployer","tx","AI literacy","Deployer","Deployer","-","-","Deployer_Supplier_Analysis","D12","","",""
"missing_in_html","deployer-supplier","deployer","tx","Deployer / supplier of high-risk AI systems","","Deployer","","Utah (SB 226)","Deployer_Supplier_Analysis","D21","","",""
"match","deployer-supplier","deployer","tx","General information disclosure","Deployer","Deployer","High-level description of the system, training data, outputs and metrics for system evaluation (552.103.)","High-level description of the system, training data, outputs and metrics for system evaluation (552.103.)","Deployer_Supplier_Analysis","D10","tx-hb149:552.103","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer","tx","Penalties","Deployer","Deployer","In case a person (in this case, a developer) is found to have had the “intent to discriminate” it incurs the following penalties:
- Curable Violations: $10,000 – $12,000 per violation.
- Incurable Violations: $80,000 – $200,000 per violation.
- Ongoing Violations: $2,000 – $40,000 per day (552.105.)","In case a person (in this case, a developer) is found to have had the “intent to discriminate” it incurs the following penalties:
- Curable Violations: $10,000 – $12,000 per violation.
- Incurable Violations: $80,000 – $200,000 per violation.
- Ongoing Violations: $2,000 – $40,000 per day (552.105.)","Deployer_Supplier_Analysis","D15","tx-hb149:552.105","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer","tx","Rebuttal","Deployer","Deployer","Opportunity to cure violation within 60-days (552.104.)
Liability exemption in case of 'substantial compliance' with NIST risk management framework (552.105.)","Opportunity to cure violation within 60-days (552.104.)
Liability exemption in case of 'substantial compliance' with NIST risk management framework (552.105.)","Deployer_Supplier_Analysis","D13","tx-hb149:552.104;tx-hb149:552.105","verbatim_found;verbatim_found","verbatim_found"
