company,position,location,date
Anthropic,"Geopolitics Analyst, Policy","San Francisco, CA | New York City, NY | Washington, DC",2026-01-31
Anthropic,"Manager, National Security Policy","Washington, DC",2026-01-31
Anthropic,"Product Public Policy Manager, Privacy & Data Governance","San Francisco, CA",2026-01-31
Anthropic,"Public Policy, Events Lead","San Francisco, CA; Washington, DC",2026-01-31
Anthropic,"Regional State and Local Affairs Lead, Midwestern States","Remote-Friendly (Travel-Required) | Washington, DC",2026-01-31
Anthropic,"Regional State and Local Affairs Lead, Northeast States","New York City, NY",2026-01-31
Anthropic,"Regional State and Local Affairs Lead, Southern States","Remote-Friendly (Travel-Required) | Washington, DC",2026-01-31
Anthropic,"Regional State and Local Affairs Lead, Western States","San Francisco, CA",2026-01-31
Anthropic,"Research Economist, Economic Research","San Francisco, CA",2026-01-31
Anthropic,Anthropic AI Safety Fellow,"London, UK; Ontario, CA; Remote-Friendly, United States; San Francisco, CA",2026-01-31
Anthropic,Anthropic AI Security Fellow,"London, UK; Ontario, CA; Remote-Friendly, United States; San Francisco, CA",2026-01-31
Anthropic,"Applied Safety Research Engineer, Safeguards","San Francisco, CA",2026-01-31
Anthropic,Certification Content and Systems Architect,"San Francisco, CA | New York City, NY",2026-01-31
Anthropic,"Data Operations Manager, Computer Use & Tool Use","San Francisco, CA | New York City, NY",2026-01-31
Anthropic,Education Platform Engineering Lead,"San Francisco, CA",2026-01-31
Anthropic,"Engineering Manager, Inference","San Francisco, CA | New York City, NY | Seattle, WA",2026-01-31
Anthropic,"Engineering Manager, ML Acceleration","San Francisco, CA | New York City, NY | Seattle, WA",2026-01-31
Anthropic,"[Expression of Interest] Research Manager, Interpretability","San Francisco, CA",2026-01-31
Anthropic,"[Expression of Interest] Research Scientist/Engineer, Alignment Finetuning","San Francisco, CA",2026-01-31
Anthropic,"[Expression of Interest] Research Scientist/Engineer, Honesty","New York City, NY; San Francisco, CA",2026-01-31
Anthropic,"Founding Design Engineer, AI Capability Development, Education Labs","San Francisco, CA | New York City, NY",2026-01-31
Anthropic,"Full Stack Software Engineer, Reinforcement Learning","San Francisco, CA",2026-01-31
Anthropic,"Machine Learning Systems Engineer, Research Tools","San Francisco, CA | New York City, NY | Seattle, WA",2026-01-31
Anthropic,"Machine Learning Systems Engineer, RL Engineering","San Francisco, CA | New York City, NY | Seattle, WA",2026-01-31
Anthropic,"ML Infrastructure Engineer, Safeguards","San Francisco, CA",2026-01-31
Anthropic,"ML/Research Engineer, Safeguards","San Francisco, CA | New York City, NY",2026-01-31
Anthropic,Performance Engineer,"New York City, NY | Seattle, WA; San Francisco, CA | New York City, NY | Seattle, WA",2026-01-31
